icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
c07d0b,CGVJE   ,Canada,1741970060.0,1741970063,-75.0617,45.6038,883.92,False,57.73,86.42,0.0,,853.44,,False,0
ab1644,UAL360  ,United States,1741970063.0,1741970063,-82.8383,40.8909,10652.76,False,251.45,73.23,0.0,,10751.82,2455,False,0
4b1818,SWR789C ,Switzerland,1741970063.0,1741970063,4.4334,50.7469,647.7,False,85.27,19.75,-2.6,,655.32,1000,False,0
e8027c,LPE2382 ,Chile,1741970062.0,1741970063,-78.2561,-5.6604,11574.78,False,234.26,357.73,0.33,,12321.54,5655,False,0
4b1819,SWR253  ,Switzerland,1741970063.0,1741970063,31.5221,33.4429,10980.42,False,202.15,300.09,0.0,,11361.42,6001,False,0
ac96b8,AAL1907 ,United States,1741970063.0,1741970063,-96.541,33.2912,3215.64,False,124.48,250.44,-6.18,,3200.4,0504,False,0
a6fe0e,N55LB   ,United States,1741970062.0,1741970063,-81.1213,35.7965,6705.6,False,210.61,272.52,0.0,,6850.38,6051,False,0
aa56db,UAL2216 ,United States,1741970062.0,1741970062,-93.6563,43.8047,10668.0,False,237.79,112.51,0.0,,10568.94,2622,False,0
a2e5ec,SKW3831 ,United States,1741970062.0,1741970062,-93.48,44.0656,6400.8,False,214.25,4.82,0.0,,6332.22,4104,False,0
39de4b,TVF39TH ,France,1741970063.0,1741970063,7.2524,51.4519,11879.58,False,232.19,40.15,0.0,,11590.02,0672,False,0
408124,EXS1120 ,United Kingdom,1741970062.0,1741970062,20.7047,47.1508,11574.78,False,201.18,311.48,-0.33,,11490.96,5374,False,0
aaa6c5,N78590  ,United States,1741970061.0,1741970062,-121.1519,44.811,1493.52,False,42.75,182.76,1.3,,1348.74,3364,False,0
a808bb,N61697  ,United States,1741970062.0,1741970062,-80.4171,25.6537,152.4,False,36.14,85.1,1.3,,152.4,4562,False,0
ade18c,AAL1150 ,United States,1741970063.0,1741970063,-101.5233,34.7354,10058.4,False,276.05,78.06,0.0,,9951.72,7246,False,0
